# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
APC	ENSG00000134982	ENST00000257430	protein_coding	0	1	2	274	0	0	0	0	232	2	0	0	0	0	0	0	0	1	42
AR	ENSG00000169083	ENST00000374690	protein_coding	1	17	36	1126	36	0	8	0	1082	36	0	0	0	0	0	1	0	17	0
ARID1A	ENSG00000117713	ENST00000324856	protein_coding	0	6	18	162	2	0	4	0	157	18	0	0	0	2	0	0	0	5	0
ARID2	ENSG00000189079	ENST00000334344	protein_coding	1	13	18	561	10	0	3	0	549	18	0	0	0	2	0	1	0	12	0
ATM	ENSG00000149311	ENST00000278616	protein_coding	2	16	18	428	0	0	9	0	407	18	0	0	1	1	0	1	0	15	14
ATP1B2	ENSG00000129244	ENST00000250111	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ATP6V0E1P2	ENSG00000223513	ENST00000441771	processed_pseudogene	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ATRX	ENSG00000085224	ENST00000373344	protein_coding	1	6	26	898	5	0	2	0	893	26	0	0	1	2	0	0	0	5	0
AXIN1	ENSG00000103126	ENST00000262320	protein_coding	1	4	7	295	0	1	1	0	294	7	0	0	0	0	0	1	0	3	0
BAP1	ENSG00000163930	ENST00000460680	protein_coding	0	1	2	15	2	0	3	0	10	2	0	0	0	0	0	0	0	1	0
BCL2	ENSG00000171791	ENST00000333681	protein_coding	0	2	4	629	3	0	5	13	605	4	0	0	0	0	0	0	0	2	3
BCOR	ENSG00000183337	ENST00000378444	protein_coding	2	8	10	120	4	0	1	6	100	10	0	0	0	1	0	2	0	8	9
BIRC6	ENSG00000115760	ENST00000421745	protein_coding	1	18	33	676	0	0	1	0	676	33	0	0	0	3	0	1	0	17	0
BIRC6-AS1	ENSG00000230046	ENST00000455572	antisense	0	0	0	31	0	0	0	12	4	0	2	0	0	0	0	0	0	0	13
BRAF	ENSG00000157764	ENST00000288602	protein_coding	0	4	6	819	0	0	0	23	796	6	0	0	0	2	0	0	0	4	0
BRCA2	ENSG00000139618	ENST00000380152	protein_coding	3	8	20	251	0	1	3	0	249	20	0	1	0	0	1	1	0	7	0
BZRAP1-AS1	ENSG00000265148	ENST00000580022	antisense	0	0	0	26	0	0	0	20	0	0	6	0	0	0	0	0	0	0	0
CALM1P2	ENSG00000230564	ENST00000452941	processed_pseudogene	0	0	0	19	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
CASP8	ENSG00000064012	ENST00000358485	protein_coding	0	0	0	75	3	0	0	0	59	0	0	0	0	0	0	0	0	0	13
CBX3P3	ENSG00000250045	ENST00000508108	processed_pseudogene	0	0	0	55	0	0	0	20	0	0	3	0	0	0	0	0	0	0	32
CDH1	ENSG00000039068	ENST00000261769	protein_coding	0	1	7	231	3	0	1	0	227	7	0	0	0	0	0	0	0	1	0
CDH10	ENSG00000040731	ENST00000264463	protein_coding	4	14	32	2546	11	0	12	0	2524	32	0	0	0	2	0	4	0	13	0
CDK12	ENSG00000167258	ENST00000447079	protein_coding	0	4	7	239	7	0	0	10	220	7	0	0	0	0	0	0	0	4	2
CIC	ENSG00000079432	ENST00000572681	protein_coding	0	7	14	56	1	0	1	0	54	14	0	0	0	0	0	0	0	7	0
CREBBP	ENSG00000005339	ENST00000262367	protein_coding	1	4	21	326	3	0	4	0	319	21	0	0	0	1	0	1	0	4	0
CSDE1	ENSG00000009307	ENST00000438362	protein_coding	0	0	0	22	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
CTC-215O4.4	ENSG00000266936	ENST00000587831	antisense	0	0	0	37	0	0	0	10	20	0	2	0	0	0	0	0	0	0	5
CTC-429L19.3	ENSG00000267197	ENST00000592671	sense_intronic	0	0	0	25	0	0	0	13	1	0	0	0	0	0	0	0	0	0	11
CTCF	ENSG00000102974	ENST00000264010	protein_coding	0	0	5	178	5	0	1	0	172	5	0	0	0	0	0	0	0	0	0
CTD-2012K14.6	ENSG00000261386	ENST00000605277	lincRNA	0	0	0	21	0	0	0	0	8	0	5	0	0	0	0	0	0	0	8
CTD-2012K14.7	ENSG00000259804	ENST00000562846	antisense	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
CTD-2058B24.2	ENSG00000259048	ENST00000554687	antisense	0	0	0	12	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0
CTD-2058B24.3	ENSG00000258696	ENST00000554029	antisense	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
CTD-2301A4.3	ENSG00000240729	ENST00000460608	processed_pseudogene	0	0	0	28	0	0	0	17	0	0	0	0	0	0	0	0	0	0	11
CTD-2301A4.5	ENSG00000270706	ENST00000604252	processed_pseudogene	0	0	0	28	0	0	0	10	0	0	2	0	0	0	0	0	0	0	16
CTD-2370N5.3	ENSG00000265118	ENST00000578584	protein_coding	0	1	1	49	2	0	0	7	29	1	0	0	0	1	0	0	0	0	11
CTD-2522E6.4	ENSG00000237351	ENST00000456427	processed_pseudogene	0	0	0	32	0	0	0	15	0	0	7	0	0	0	0	0	0	0	10
CTNNB1	ENSG00000168036	ENST00000349496	protein_coding	0	0	1	15	1	0	0	1	12	1	0	0	0	0	0	0	0	0	1
DDX3X	ENSG00000215301	ENST00000399959	protein_coding	0	7	4	58	13	1	3	9	34	4	0	0	0	2	0	0	0	5	0
DNAH1	ENSG00000114841	ENST00000420323	protein_coding	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
DNAJC19P5	ENSG00000225808	ENST00000443295	processed_pseudogene	0	0	0	40	0	0	0	13	0	0	1	0	0	0	0	0	0	0	26
DNMT3A	ENSG00000119772	ENST00000264709	protein_coding	0	5	4	266	5	0	2	0	261	4	0	0	0	2	0	0	0	3	0
EGFR	ENSG00000146648	ENST00000275493	protein_coding	1	11	24	990	40	0	1	31	920	24	0	0	0	4	0	1	0	9	0
EGFR-AS1	ENSG00000224057	ENST00000442411	antisense	0	0	0	101	0	0	0	29	27	0	16	0	0	0	0	0	0	0	29
ELAC1	ENSG00000141642	ENST00000269466	protein_coding	0	2	4	89	2	1	1	19	67	4	0	0	0	0	0	0	0	1	0
ELF3	ENSG00000163435	ENST00000359651	protein_coding	0	3	2	24	0	2	15	2	7	2	0	0	0	0	0	0	0	1	0
EP300	ENSG00000100393	ENST00000263253	protein_coding	0	7	3	245	0	6	30	0	215	3	0	0	0	0	0	0	0	1	0
ERBB3	ENSG00000065361	ENST00000267101	protein_coding	1	5	2	78	0	1	11	0	68	2	0	1	0	0	0	0	0	4	0
ESR1	ENSG00000091831	ENST00000206249	protein_coding	0	6	12	1407	12	0	4	25	1338	12	0	0	0	0	0	0	0	6	28
EVI2A	ENSG00000126860	ENST00000247270	protein_coding	0	0	2	28	0	0	2	10	5	2	0	0	0	0	0	0	0	0	11
EVI2B	ENSG00000185862	ENST00000544462	protein_coding	0	1	2	39	0	0	0	9	19	2	0	0	0	0	0	0	0	1	11
FABP5P15	ENSG00000237106	ENST00000453566	processed_pseudogene	0	0	0	32	0	0	0	18	0	0	0	0	0	0	0	0	0	0	14
FAM135B	ENSG00000147724	ENST00000395297	protein_coding	3	24	25	4062	21	0	13	0	4031	25	0	1	0	4	0	2	0	22	0
FAM46C	ENSG00000183508	ENST00000369448	protein_coding	0	0	4	61	7	0	0	0	54	4	0	0	0	0	0	0	0	0	0
FAT1	ENSG00000083857	ENST00000441802	protein_coding	4	28	66	614	4	0	5	0	588	66	0	0	1	1	0	3	0	27	19
FAT3	ENSG00000165323	ENST00000298047	protein_coding	4	40	94	3157	27	0	0	0	3134	94	0	0	1	5	0	3	0	37	0
FAT4	ENSG00000196159	ENST00000394329	protein_coding	3	40	87	927	6	0	0	0	923	87	0	1	1	0	0	1	0	40	0
FBXW7	ENSG00000109670	ENST00000281708	protein_coding	1	5	5	592	8	3	19	0	565	5	0	0	0	0	0	1	0	2	0
FGFR2	ENSG00000066468	ENST00000457416	protein_coding	1	1	8	312	0	0	5	3	304	8	0	0	0	1	0	1	0	1	0
FGFR3	ENSG00000068078	ENST00000340107	protein_coding	0	2	2	34	3	1	1	0	31	2	0	0	0	1	0	0	0	0	0
FOXA1	ENSG00000129514	ENST00000250448	protein_coding	0	0	1	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
FTLP14	ENSG00000260459	ENST00000562087	processed_pseudogene	0	0	0	32	0	0	0	11	0	0	1	0	0	0	0	0	0	0	20
GATA3	ENSG00000107485	ENST00000379328	protein_coding	0	6	7	108	7	2	5	0	88	7	0	0	0	1	0	0	0	3	9
GATA3-AS1	ENSG00000197308	ENST00000355358	lincRNA	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
HCG4P5	ENSG00000231067	ENST00000450479	unprocessed_pseudogene	0	0	0	15	0	0	0	4	0	0	3	0	0	0	0	0	0	0	8
HLA-A	ENSG00000223980	ENST00000454091	protein_coding	0	2	2	12	0	1	2	0	10	2	0	0	0	0	0	0	0	1	0
HMGB2P1	ENSG00000267736	ENST00000591146	processed_pseudogene	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
HRAS	ENSG00000174775	ENST00000311189	protein_coding	0	1	1	17	2	0	0	0	10	1	0	0	0	1	0	0	0	0	6
HSF5	ENSG00000176160	ENST00000323777	protein_coding	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
HSPA8P20	ENSG00000234564	ENST00000448737	processed_pseudogene	0	0	0	32	0	0	0	12	3	0	2	0	0	0	0	0	0	0	15
IDH1	ENSG00000138413	ENST00000345146	protein_coding	0	2	2	93	3	0	2	0	65	2	0	0	0	2	0	0	0	0	25
IDH1-AS1	ENSG00000231908	ENST00000448588	antisense	0	0	0	48	0	0	0	23	2	0	2	0	0	0	0	0	0	0	21
IFIT1P1	ENSG00000215515	ENST00000400497	processed_pseudogene	0	0	0	42	0	0	0	23	0	0	2	0	0	0	0	0	0	0	17
KDM6A	ENSG00000147050	ENST00000382899	protein_coding	0	7	7	600	0	0	0	0	601	7	0	0	0	1	0	0	0	6	0
KEAP1	ENSG00000079999	ENST00000171111	protein_coding	1	2	6	36	0	0	1	0	35	6	0	0	0	0	0	1	0	2	0
KIF9-AS1	ENSG00000227398	ENST00000429315	antisense	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
KIT	ENSG00000157404	ENST00000288135	protein_coding	2	7	14	375	10	1	4	0	361	14	0	0	0	0	0	2	0	6	0
KLLN	ENSG00000227268	ENST00000445946	protein_coding	0	0	0	31	0	0	1	0	0	0	0	0	0	0	0	0	0	0	30
KMT2C	ENSG00000055609	ENST00000355193	protein_coding	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
KMT2D	ENSG00000167548	ENST00000301067	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
KNOP1P2	ENSG00000270429	ENST00000605379	processed_pseudogene	0	0	0	38	0	0	0	17	0	0	2	0	0	0	0	0	0	0	19
KRAS	ENSG00000133703	ENST00000256078	protein_coding	0	0	1	220	0	0	1	19	198	1	0	0	0	0	0	0	0	0	2
LETM1	ENSG00000168924	ENST00000302787	protein_coding	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
LINC00441	ENSG00000231473	ENST00000433480	lincRNA	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
LINC00517	ENSG00000259091	ENST00000554257	antisense	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
LINC00938	ENSG00000273015	ENST00000609803	lincRNA	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
LPAR6	ENSG00000139679	ENST00000345941	protein_coding	1	4	1	84	0	0	4	16	45	1	0	0	0	1	0	1	0	3	20
LRP1B	ENSG00000168702	ENST00000389484	protein_coding	21	108	224	6242	1957	0	0	0	4318	224	0	6	4	45	0	9	2	83	0
LRRC56	ENSG00000161328	ENST00000270115	protein_coding	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
LYRM5	ENSG00000205707	ENST00000381356	protein_coding	0	0	0	20	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
MAB21L1	ENSG00000180660	ENST00000379919	protein_coding	0	7	14	103	7	1	12	44	0	14	0	0	0	0	0	0	0	6	40
MAP2K1	ENSG00000169032	ENST00000307102	protein_coding	0	7	6	244	0	5	39	0	205	6	0	0	0	0	0	0	0	2	0
MAP2K4	ENSG00000065559	ENST00000415385	protein_coding	0	5	2	603	19	0	1	0	584	2	0	0	0	1	0	0	0	4	0
MAP3K1	ENSG00000095015	ENST00000399503	protein_coding	2	8	17	206	5	0	0	0	203	17	0	0	1	1	0	1	0	7	0
MIR1281	ENSG00000221160	ENST00000408233	miRNA	0	0	0	79	0	0	0	60	0	0	1	0	0	0	0	0	0	0	18
MIR1301	ENSG00000221445	ENST00000408518	miRNA	0	0	0	23	0	0	0	10	0	0	0	0	0	0	0	0	0	0	13
MIR3128	ENSG00000265396	ENST00000581957	miRNA	0	0	0	43	0	0	0	22	0	0	0	0	0	0	0	0	0	0	21
MIR3140	ENSG00000264678	ENST00000583685	miRNA	0	0	0	31	0	0	0	15	0	0	0	0	0	0	0	0	0	0	16
MIR4453	ENSG00000268471	ENST00000604157	lincRNA	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
MIR4673	ENSG00000263403	ENST00000584777	miRNA	0	0	0	30	0	0	0	12	0	0	0	0	0	0	0	0	0	0	18
MIR4674	ENSG00000265181	ENST00000582457	miRNA	0	0	0	19	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
MIR4733	ENSG00000265444	ENST00000578268	miRNA	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
MIR558	ENSG00000207653	ENST00000384920	miRNA	0	0	0	25	0	0	0	10	0	0	0	0	0	0	0	0	0	0	15
MIR744	ENSG00000266297	ENST00000578242	miRNA	0	0	0	54	0	0	0	28	0	0	1	0	0	0	0	0	0	0	25
MTOR	ENSG00000198793	ENST00000361445	protein_coding	1	6	13	358	0	0	3	0	358	13	0	1	0	4	0	0	0	2	0
MTOR-AS1	ENSG00000225602	ENST00000445982	antisense	0	0	0	27	0	0	0	9	8	0	1	0	0	0	0	0	0	0	9
MYD88	ENSG00000172936	ENST00000417037	protein_coding	0	0	1	7	1	0	1	0	5	1	0	0	0	0	0	0	0	0	0
MYH9	ENSG00000100345	ENST00000216181	protein_coding	1	7	10	312	3	0	0	0	313	10	0	0	0	4	0	1	0	3	0
N4BP2L1	ENSG00000139597	ENST00000380130	protein_coding	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0
NBEA	ENSG00000172915	ENST00000310336	protein_coding	3	25	54	3709	7	4	9	0	3696	54	0	0	0	10	0	3	0	15	1
NCOR1	ENSG00000141027	ENST00000268712	protein_coding	3	15	46	612	25	0	0	0	590	46	0	0	0	5	0	3	0	12	0
NDUFB11	ENSG00000147123	ENST00000276062	protein_coding	0	0	0	25	0	0	3	0	0	0	0	0	0	0	0	0	0	0	22
NF1	ENSG00000196712	ENST00000358273	protein_coding	1	8	19	763	14	0	5	12	734	19	0	0	0	5	0	1	0	6	0
NFE2L2	ENSG00000116044	ENST00000397062	protein_coding	0	3	10	178	5	2	8	19	126	10	0	0	0	0	0	0	0	1	20
NOTCH1	ENSG00000148400	ENST00000277541	protein_coding	2	8	14	161	9	0	0	0	153	14	0	0	0	1	0	2	0	7	0
NOTCH2	ENSG00000134250	ENST00000256646	protein_coding	4	21	32	681	12	0	6	0	667	32	0	0	1	3	0	3	0	18	0
NPAT	ENSG00000149308	ENST00000278612	protein_coding	0	2	1	110	0	1	3	0	1	1	0	0	0	1	0	0	0	0	107
NPM1P34	ENSG00000232054	ENST00000428821	processed_pseudogene	0	0	0	39	0	0	0	17	0	0	3	0	0	0	0	0	0	0	19
NRADDP	ENSG00000236409	ENST00000437305	unitary_pseudogene	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
NRAS	ENSG00000213281	ENST00000369535	protein_coding	0	1	1	47	12	0	2	0	34	1	0	0	0	1	0	0	0	0	0
NSD1	ENSG00000165671	ENST00000439151	protein_coding	1	5	27	549	20	0	1	0	514	27	0	0	0	2	0	1	0	3	15
OMG	ENSG00000126861	ENST00000247271	protein_coding	0	1	1	28	0	0	1	15	1	1	0	0	0	0	0	0	0	1	11
PAFAH1B3	ENSG00000079462	ENST00000262890	protein_coding	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
PCNPP5	ENSG00000177197	ENST00000452246	processed_pseudogene	0	0	0	32	0	0	0	18	0	0	5	0	0	0	0	0	0	0	9
PDIA2	ENSG00000185615	ENST00000219406	protein_coding	0	0	0	20	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
PGAM1P9	ENSG00000249255	ENST00000503887	processed_pseudogene	0	0	0	62	0	0	0	26	0	0	3	0	0	0	0	0	0	0	33
PHBP13	ENSG00000234835	ENST00000453244	processed_pseudogene	0	0	0	73	0	0	0	41	0	0	5	0	0	0	0	0	0	0	27
PHF7	ENSG00000010318	ENST00000327906	protein_coding	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
PIK3CA	ENSG00000121879	ENST00000263967	protein_coding	0	2	0	467	0	0	6	0	442	0	0	0	0	2	0	0	0	0	20
PIK3R1	ENSG00000145675	ENST00000396611	protein_coding	2	7	5	245	9	0	2	0	223	5	0	0	1	1	0	1	0	6	13
PIKFYVE	ENSG00000115020	ENST00000264380	protein_coding	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
PIM1	ENSG00000137193	ENST00000373509	protein_coding	0	3	1	11	1	1	4	0	7	1	0	0	0	1	0	0	0	1	0
PPP1R26P1	ENSG00000238086	ENST00000474415	processed_pseudogene	0	0	0	77	0	0	0	25	0	0	31	0	0	0	0	0	0	0	21
PPP2R1A	ENSG00000105568	ENST00000322088	protein_coding	1	5	4	172	0	0	1	0	172	4	0	0	1	0	0	0	0	5	0
PRELID1	ENSG00000169230	ENST00000303204	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
PREX2	ENSG00000046889	ENST00000288368	protein_coding	2	19	46	2223	46	1	11	0	2169	46	0	0	0	8	0	2	0	15	0
PTCH1	ENSG00000185920	ENST00000331920	protein_coding	0	9	8	153	6	1	1	0	127	8	0	0	0	2	0	0	0	6	21
PTEN	ENSG00000171862	ENST00000371953	protein_coding	0	3	2	260	9	2	19	0	232	2	0	0	0	0	0	0	0	1	0
PTPN11	ENSG00000179295	ENST00000351677	protein_coding	0	1	6	271	18	0	0	0	252	6	0	0	0	1	0	0	0	1	1
PTPRB	ENSG00000127329	ENST00000334414	protein_coding	2	12	21	534	26	0	0	0	511	21	0	0	0	5	0	2	0	9	0
PTPRD	ENSG00000153707	ENST00000356435	protein_coding	2	15	58	3219	25	0	4	0	3147	58	0	0	0	6	0	2	0	12	46
PTPRR	ENSG00000153233	ENST00000283228	protein_coding	0	0	0	18	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
RAB24	ENSG00000169228	ENST00000303251	protein_coding	0	0	0	18	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
RB1	ENSG00000139687	ENST00000267163	protein_coding	1	3	5	583	4	0	2	0	580	5	0	0	1	3	0	0	0	1	0
RBM10	ENSG00000182872	ENST00000377604	protein_coding	0	5	11	125	0	1	7	0	119	11	0	0	0	1	0	0	0	3	0
RN7SKP58	ENSG00000222942	ENST00000411010	misc_RNA	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
RN7SL15P	ENSG00000264573	ENST00000582825	misc_RNA	0	0	0	39	0	0	0	16	0	0	2	0	0	0	0	0	0	0	21
RN7SL192P	ENSG00000266352	ENST00000584303	misc_RNA	0	0	0	33	0	0	0	20	0	0	1	0	0	0	0	0	0	0	12
RN7SL246P	ENSG00000265093	ENST00000584467	misc_RNA	0	0	0	37	0	0	0	18	0	0	1	0	0	0	0	0	0	0	18
RN7SL349P	ENSG00000266345	ENST00000582364	misc_RNA	0	0	0	19	0	0	0	11	0	0	1	0	0	0	0	0	0	0	7
RN7SL501P	ENSG00000266138	ENST00000578818	misc_RNA	0	0	0	24	0	0	0	14	0	0	2	0	0	0	0	0	0	0	8
RN7SL5P	ENSG00000265735	ENST00000581458	misc_RNA	0	0	0	80	0	0	0	39	0	0	12	0	0	0	0	0	0	0	29
RNA5SP429	ENSG00000200558	ENST00000363688	rRNA	0	0	0	39	0	0	0	23	0	0	1	0	0	0	0	0	0	0	15
RNF43	ENSG00000108375	ENST00000407977	protein_coding	0	3	10	180	9	0	1	0	168	10	0	0	0	0	0	0	0	3	2
RNPEP	ENSG00000176393	ENST00000295640	protein_coding	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
RNU11-2P	ENSG00000252707	ENST00000516898	snRNA	0	0	0	43	0	0	0	25	0	0	1	0	0	0	0	0	0	0	17
RNU6-1277P	ENSG00000201431	ENST00000364561	snRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RNU6-233P	ENSG00000222777	ENST00000410845	snRNA	0	0	0	30	0	0	0	13	0	0	0	0	0	0	0	0	0	0	17
RNU6-291P	ENSG00000207451	ENST00000384720	snRNA	0	0	0	24	0	0	0	10	0	0	0	0	0	0	0	0	0	0	14
RNU6-314P	ENSG00000252383	ENST00000516574	snRNA	0	0	0	89	0	0	0	40	0	0	1	0	0	0	0	0	0	0	48
RNU6-482P	ENSG00000212370	ENST00000391068	snRNA	0	0	0	54	0	0	0	34	0	0	1	0	0	0	0	0	0	0	19
RNU6-523P	ENSG00000252113	ENST00000516304	snRNA	0	0	0	24	0	0	0	12	0	0	0	0	0	0	0	0	0	0	12
RNU6-537P	ENSG00000253086	ENST00000517277	snRNA	0	0	0	15	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8
RNU6-981P	ENSG00000223091	ENST00000411159	snRNA	0	0	0	33	0	0	0	27	0	0	0	0	0	0	0	0	0	0	6
RNU7-185P	ENSG00000239102	ENST00000459215	snRNA	0	0	0	92	0	0	0	41	0	0	2	0	0	0	0	0	0	0	49
RNU7-71P	ENSG00000251868	ENST00000516059	snRNA	0	0	0	35	0	0	0	16	0	0	0	0	0	0	0	0	0	0	19
RP1-134O19.3	ENSG00000270620	ENST00000604816	unprocessed_pseudogene	0	0	0	30	0	0	0	13	0	0	1	0	0	0	0	0	0	0	16
RP1-315G1.3	ENSG00000232412	ENST00000426367	lincRNA	0	0	0	49	0	0	0	0	15	0	3	0	0	0	0	0	0	0	31
RP11-116O11.1	ENSG00000251294	ENST00000510391	antisense	0	1	0	1141	0	0	0	89	945	0	35	0	0	1	0	0	0	0	73
RP11-116O11.2	ENSG00000249562	ENST00000506658	processed_pseudogene	0	0	0	158	0	0	0	96	0	0	1	0	0	0	0	0	0	0	61
RP11-134K1.2	ENSG00000212695	ENST00000391389	processed_pseudogene	0	0	0	107	0	0	0	48	0	0	12	0	0	0	0	0	0	0	47
